Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
390,José Mari,Cádiz,2.0,15.0,12,3,ESP
391,Manu Bueno,Sevilla,2.0,1.8,99,4,ESP
392,Sergio Rodelas,Granada CF,2.0,1.5,122,3,ESP
393,Mikel Jauregizar,Athletic Club,2.0,1.2,145,7,ESP
393,Njegos Petrovic,Granada CF,2.0,1.2,148,10,SRB
395,Arthur Vermeeren,Atlético de Madrid,2.0,1.1,159,5,BEL
396,Adnan Januzaj,Sevilla,2.0,1.0,187,8,BEL
397,Brian Ocampo,Cádiz,2.0,0.8,237,13,URU
397,Joaquin Panichelli,Alavés,2.0,0.8,222,8,ARG
397,Mariano Diaz,Sevilla,2.0,0.8,239,9,DOM
400,Ben Brereton Diaz,Villarreal,2.0,0.7,261,14,CHI
400,Ibrahima Koné,Almería,2.0,0.7,275,9,MLI
402,Marko Milovanovic,Almería,2.0,0.6,301,11,SRB
402,Miguel Rodriguez,Celta de Vigo,2.0,0.6,291,15,ESP
